department,len_all_detected,len_none_detected,len_atleast_one_detected
nephrology department,13,0,4
gynecology department,8,2,11
endocrinology department,22,0,4
neurology department,14,2,10
pediatrics department,14,0,5
cardiac surgical department,13,0,0
gastrointestinal surgical department,10,1,6
respiratory medicine department,15,0,7
gastroenterology department,9,7,7
urinary surgical department,19,2,3
hepatobiliary and pancreas surgical department,20,0,7
hematology department,0,2,6
Total,157,16,70
