department,len_all_detected,len_none_detected,len_atleast_one_detected
nephrology department,13,1,3
gynecology department,7,8,6
endocrinology department,22,1,3
neurology department,12,3,11
pediatrics department,8,3,8
cardiac surgical department,8,0,5
gastrointestinal surgical department,6,6,5
respiratory medicine department,10,5,7
gastroenterology department,7,10,6
urinary surgical department,20,2,2
hepatobiliary and pancreas surgical department,16,1,10
hematology department,0,6,2
Total,129,46,68
